"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Abilene","TX MSA",1291,1131,160,0,0
"Albany","GA MSA",7077,5189,332,0,1556
"Albany-Schenectady-Troy","NY MSA",18100,17810,0,0,290
"Albuquerque","NM MSA",51856,50220,0,0,1636
"Alexandria","LA MSA",4336,4336,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",18879,15527,0,232,3120
"Altoona","PA MSA",907,907,0,0,0
"Amarillo","TX MSA",7518,7518,0,0,0
"Anchorage","AK MSA",8635,4639,3530,466,0
"Anniston","AL MSA",1450,1450,0,0,0
"Appleton-Oshkosh-Neenah","WI MSA",16188,13058,0,510,2620
"Asheville","NC MSA",15355,14770,263,322,0
"Athens","GA MSA",23677,16823,0,0,6854
"Atlanta","GA MSA",492484,443402,952,777,47353
"Auburn-Opelika","AL MSA",6657,5192,596,487,382
"Augusta-Aiken","GA-SC MSA",37188,31891,0,0,5297
"Austin-San Marcos","TX MSA",72288,68670,554,291,2773
"Bakersfield","CA MSA",49573,49573,0,0,0
"Bangor","ME MSA",1395,1255,140,0,0
"Barnstable-Yarmouth","MA MSA",11845,11845,0,0,0
"Baton Rouge","LA MSA",12453,12263,0,190,0
"Beaumont-Port Arthur","TX MSA",5199,5199,0,0,0
"Bellingham","WA MSA",15125,12604,450,0,2071
"Benton Harbor","MI MSA",1242,1242,0,0,0
"Billings","MT MSA",6824,4933,175,0,1716
"Biloxi-Gulfport-Pascagoula","MS MSA",17387,17262,125,0,0
"Binghamton","NY MSA",567,567,0,0,0
"Birmingham","AL MSA",51583,51343,0,0,240
"Bismarck","ND MSA",1412,1412,0,0,0
"Bloomington","IN MSA",6520,4622,0,0,1898
"Bloomington-Normal","IL MSA",10741,4097,0,0,6644
"Boise City","ID MSA",69148,63778,1097,2629,1644
"Boston-Worcester-Lawrence MA-NH-ME-CT CMSA","148911",136951,5248,1810,4902,NA
"Brownsville-Harlingen-San Benito","TX MSA",13778,13453,168,157,0
"Bryan-College Station","TX MSA",9362,9141,221,0,0
"Buffalo-Niagara Falls","NY MSA",21953,19543,150,0,2260
"Burlington","VT MSA",4848,4685,163,0,0
"Canton-Massillon","OH MSA",9327,8810,517,0,0
"Casper","WY MSA",1252,1252,0,0,0
"Cedar Rapids","IA MSA",4019,2910,153,956,0
"Champaign-Urbana","IL MSA",4674,3549,0,450,675
"Charleston-North Charleston","SC MSA",47185,44373,0,708,2104
"Charleston","WV MSA",2164,2164,0,0,0
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",182975,164338,1005,874,16758
