"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX MSA",11,7,4,0,0,0
"Albany","GA MSA",76,48,4,0,24,3
"Albany-Schenectady-Troy","NY MSA",106,101,0,0,5,1
"Albuquerque","NM MSA",519,481,0,0,38,1
"Alexandria","LA MSA",36,36,0,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",168,125,0,3,40,4
"Altoona","PA MSA",5,5,0,0,0,0
"Amarillo","TX MSA",46,46,0,0,0,0
"Anchorage","AK MSA",54,24,26,4,0,0
"Anniston","AL MSA",12,12,0,0,0,0
"Appleton-Oshkosh-Neenah","WI MSA",153,90,0,3,60,5
"Asheville","NC MSA",116,104,6,6,0,0
"Athens","GA MSA",247,135,0,0,112,6
"Atlanta","GA MSA",4636,3873,14,10,739,24
"Auburn-Opelika","AL MSA",58,35,10,8,5,1
"Augusta-Aiken","GA-SC MSA",490,274,0,0,216,5
"Austin-San Marcos","TX MSA",590,532,8,4,46,8
"Bakersfield","CA MSA",359,359,0,0,0,0
"Bangor","ME MSA",10,8,2,0,0,0
"Barnstable-Yarmouth","MA MSA",52,52,0,0,0,0
"Baton Rouge","LA MSA",125,121,0,4,0,0
"Beaumont-Port Arthur","TX MSA",38,38,0,0,0,0
"Bellingham","WA MSA",122,82,4,0,36,3
"Benton Harbor","MI MSA",7,7,0,0,0,0
"Billings","MT MSA",58,32,2,0,24,1
"Biloxi-Gulfport-Pascagoula","MS MSA",166,164,2,0,0,0
"Binghamton","NY MSA",3,3,0,0,0,0
"Birmingham","AL MSA",365,359,0,0,6,1
"Bismarck","ND MSA",9,9,0,0,0,0
"Bloomington","IN MSA",63,31,0,0,32,4
"Bloomington-Normal","IL MSA",150,38,0,0,112,8
"Boise City","ID MSA",526,435,10,39,42,3
"Boston-Worcester-Lawrence","Boston-Worcester-Lawrence MA-NH-ME-CT CMSA",887,748,60,19,60,7
