"gestfips","gtcbsa","gtco","pemlr","prdtind1","prmjind1","year","month"
6,32900,47,1,14,4,2004,6
6,32900,47,1,38,9,2004,6
6,32900,47,1,4,3,2004,6
6,32900,47,1,4,3,2004,6
6,32900,47,-1,-1,-1,2004,6
6,32900,47,-1,-1,-1,2004,6
6,32900,47,-1,-1,-1,2004,6
6,32900,47,-1,-1,-1,2004,6
6,32900,47,1,50,12,2004,6
6,32900,47,1,6,4,2004,6
6,32900,47,-1,-1,-1,2004,6
6,32900,47,-1,-1,-1,2004,6
6,32900,47,1,36,9,2004,6
6,32900,47,1,36,9,2004,6
6,32900,47,1,46,11,2004,6
6,32900,47,4,42,10,2004,6
6,32900,47,1,47,12,2004,6
6,32900,47,1,42,10,2004,6
6,32900,47,-1,-1,-1,2004,6
6,32900,47,-1,-1,-1,2004,6
6,32900,47,-1,-1,-1,2004,6
6,32900,47,-1,-1,-1,2004,6
6,32900,47,-1,-1,-1,2004,6
6,32900,47,1,1,1,2004,6
6,32900,47,1,24,6,2004,6
6,32900,47,-1,-1,-1,2004,6
6,32900,47,-1,-1,-1,2004,6
6,32900,47,1,40,10,2004,6
6,32900,47,1,40,10,2004,6
6,32900,47,-1,-1,-1,2004,6
6,32900,47,-1,-1,-1,2004,6
6,32900,47,-1,-1,-1,2004,6
6,32900,47,1,42,10,2004,6
6,32900,47,1,42,10,2004,6
6,32900,47,-1,-1,-1,2004,6
6,32900,47,1,40,10,2004,6
6,32900,47,1,41,10,2004,6
6,32900,47,-1,-1,-1,2004,6
6,32900,47,-1,-1,-1,2004,6
6,32900,47,-1,-1,-1,2004,6
6,32900,47,-1,-1,-1,2004,6
6,32900,47,1,4,3,2004,6
6,32900,47,7,-1,-1,2004,6
6,32900,47,-1,-1,-1,2004,6
6,32900,47,6,-1,-1,2004,6
6,32900,47,6,-1,-1,2004,6
6,32900,47,5,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,1,21,5,2004,7
6,32900,47,7,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,5,-1,-1,2004,7
6,32900,47,1,41,10,2004,7
6,32900,47,1,4,3,2004,7
6,32900,47,1,40,10,2004,7
6,32900,47,1,4,3,2004,7
6,32900,47,1,1,1,2004,7
6,32900,47,1,1,1,2004,7
6,32900,47,1,4,3,2004,7
6,32900,47,4,38,9,2004,7
6,32900,47,1,1,1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,5,-1,-1,2004,7
6,32900,47,5,-1,-1,2004,7
6,32900,47,1,40,10,2004,7
6,32900,47,4,1,1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,5,-1,-1,2004,7
6,32900,47,7,-1,-1,2004,7
6,32900,47,7,-1,-1,2004,7
6,32900,47,2,14,4,2004,7
6,32900,47,1,14,4,2004,7
6,32900,47,1,22,5,2004,7
6,32900,47,1,22,5,2004,7
6,32900,47,7,-1,-1,2004,7
6,32900,47,2,41,10,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,1,14,4,2004,7
6,32900,47,1,32,8,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,1,45,11,2004,7
6,32900,47,4,1,1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,1,51,13,2004,7
6,32900,47,1,40,10,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,1,13,4,2004,7
6,32900,47,7,-1,-1,2004,7
6,32900,47,1,15,4,2004,7
6,32900,47,6,-1,-1,2004,7
6,32900,47,7,-1,-1,2004,7
6,32900,47,7,-1,-1,2004,7
6,32900,47,1,14,4,2004,7
6,32900,47,7,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,6,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,1,4,3,2004,7
6,32900,47,1,4,3,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,1,50,12,2004,7
6,32900,47,1,6,4,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,1,36,9,2004,7
6,32900,47,1,36,9,2004,7
6,32900,47,1,46,11,2004,7
6,32900,47,4,42,10,2004,7
6,32900,47,5,-1,-1,2004,7
6,32900,47,1,45,11,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,1,40,10,2004,7
6,32900,47,1,40,10,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,1,43,10,2004,7
6,32900,47,1,32,8,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,1,40,10,2004,7
6,32900,47,1,41,10,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,5,-1,-1,2004,7
6,32900,47,5,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,1,4,3,2004,7
6,32900,47,7,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,7
6,32900,47,6,-1,-1,2004,7
6,32900,47,6,-1,-1,2004,7
6,32900,47,-1,-1,-1,2004,8
6,32900,47,1,21,5,2004,8
6,32900,47,7,-1,-1,2004,8
6,32900,47,1,40,10,2004,8
6,32900,47,1,40,10,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,1,38,9,2004,8
6,32900,47,1,41,10,2004,8
6,32900,47,1,4,3,2004,8
6,32900,47,7,-1,-1,2004,8
6,32900,47,7,-1,-1,2004,8
6,32900,47,1,1,1,2004,8
6,32900,47,1,1,1,2004,8
6,32900,47,3,4,3,2004,8
6,32900,47,4,38,9,2004,8
6,32900,47,1,1,1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,5,-1,-1,2004,8
6,32900,47,5,-1,-1,2004,8
6,32900,47,1,40,10,2004,8
6,32900,47,1,1,1,2004,8
6,32900,47,5,-1,-1,2004,8
6,32900,47,7,-1,-1,2004,8
6,32900,47,7,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,1,14,4,2004,8
6,32900,47,1,51,13,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,2,40,10,2004,8
6,32900,47,7,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,1,22,5,2004,8
6,32900,47,7,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,5,-1,-1,2004,8
6,32900,47,6,40,10,2004,8
6,32900,47,5,-1,-1,2004,8
6,32900,47,7,-1,-1,2004,8
6,32900,47,1,14,4,2004,8
6,32900,47,1,1,1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,7,-1,-1,2004,8
6,32900,47,6,-1,-1,2004,8
6,32900,47,7,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,6,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,5,-1,-1,2004,8
6,32900,47,2,43,10,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,1,46,11,2004,8
6,32900,47,4,42,10,2004,8
6,32900,47,5,-1,-1,2004,8
6,32900,47,1,45,11,2004,8
6,32900,47,1,1,1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,1,40,10,2004,8
6,32900,47,1,40,10,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,1,43,10,2004,8
6,32900,47,1,32,8,2004,8
6,32900,47,1,40,10,2004,8
6,32900,47,1,41,10,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,1,43,10,2004,8
6,32900,47,1,43,10,2004,8
6,32900,47,1,4,3,2004,8
6,32900,47,7,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,1,22,5,2004,8
6,32900,47,-1,-1,-1,2004,8
6,32900,47,-1,-1,-1,2004,9
6,32900,47,1,21,5,2004,9
6,32900,47,7,-1,-1,2004,9
6,32900,47,1,40,10,2004,9
6,32900,47,1,40,10,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,1,38,9,2004,9
6,32900,47,1,41,10,2004,9
6,32900,47,1,4,3,2004,9
6,32900,47,7,-1,-1,2004,9
6,32900,47,7,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,1,22,5,2004,9
6,32900,47,1,50,12,2004,9
6,32900,47,1,46,11,2004,9
6,32900,47,4,38,9,2004,9
6,32900,47,1,1,1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,1,1,1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,4,1,1,2004,9
6,32900,47,4,46,11,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,1,4,3,2004,9
6,32900,47,1,1,1,2004,9
6,32900,47,1,50,12,2004,9
6,32900,47,5,-1,-1,2004,9
6,32900,47,7,-1,-1,2004,9
6,32900,47,7,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,1,14,4,2004,9
6,32900,47,1,32,8,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,1,40,10,2004,9
6,32900,47,1,40,10,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,1,14,4,2004,9
6,32900,47,1,32,8,2004,9
6,32900,47,7,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,1,22,5,2004,9
6,32900,47,7,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,5,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,7,-1,-1,2004,9
6,32900,47,1,14,4,2004,9
6,32900,47,7,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,7,-1,-1,2004,9
6,32900,47,6,-1,-1,2004,9
6,32900,47,7,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,6,40,10,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,7,-1,-1,2004,9
6,32900,47,1,14,4,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,5,-1,-1,2004,9
6,32900,47,6,-1,-1,2004,9
6,32900,47,6,-1,-1,2004,9
6,32900,47,6,-1,-1,2004,9
6,32900,47,7,-1,-1,2004,9
6,32900,47,7,-1,-1,2004,9
6,32900,47,1,43,10,2004,9
6,32900,47,5,-1,-1,2004,9
6,32900,47,1,45,11,2004,9
6,32900,47,1,1,1,2004,9
6,32900,47,1,46,11,2004,9
6,32900,47,7,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,1,40,10,2004,9
6,32900,47,1,40,10,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,1,43,10,2004,9
6,32900,47,2,32,8,2004,9
6,32900,47,1,40,10,2004,9
6,32900,47,1,41,10,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,1,43,10,2004,9
6,32900,47,1,43,10,2004,9
6,32900,47,1,4,3,2004,9
6,32900,47,7,-1,-1,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,1,22,5,2004,9
6,32900,47,-1,-1,-1,2004,9
6,32900,47,1,1,1,2004,10
6,32900,47,1,14,4,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,5,-1,-1,2004,10
6,32900,47,1,40,10,2004,10
6,32900,47,1,40,10,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,1,38,9,2004,10
6,32900,47,1,41,10,2004,10
6,32900,47,1,4,3,2004,10
6,32900,47,7,-1,-1,2004,10
6,32900,47,7,-1,-1,2004,10
6,32900,47,1,1,1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,1,22,5,2004,10
6,32900,47,1,50,12,2004,10
6,32900,47,1,46,11,2004,10
6,32900,47,1,38,9,2004,10
6,32900,47,1,1,1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,1,1,1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,4,1,1,2004,10
6,32900,47,4,46,11,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,4,4,3,2004,10
6,32900,47,4,1,1,2004,10
6,32900,47,2,50,12,2004,10
6,32900,47,5,-1,-1,2004,10
6,32900,47,7,-1,-1,2004,10
6,32900,47,7,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,1,1,1,2004,10
6,32900,47,1,14,4,2004,10
6,32900,47,1,32,8,2004,10
6,32900,47,7,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,1,22,5,2004,10
6,32900,47,7,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,5,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,1,23,6,2004,10
6,32900,47,1,41,10,2004,10
6,32900,47,7,-1,-1,2004,10
6,32900,47,1,14,4,2004,10
6,32900,47,7,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,7,-1,-1,2004,10
6,32900,47,6,-1,-1,2004,10
6,32900,47,7,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,1,40,10,2004,10
6,32900,47,7,-1,-1,2004,10
6,32900,47,5,-1,-1,2004,10
6,32900,47,6,-1,-1,2004,10
6,32900,47,6,-1,-1,2004,10
6,32900,47,6,-1,-1,2004,10
6,32900,47,7,-1,-1,2004,10
6,32900,47,7,-1,-1,2004,10
6,32900,47,1,22,5,2004,10
6,32900,47,4,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,1,43,10,2004,10
6,32900,47,5,-1,-1,2004,10
6,32900,47,3,45,11,2004,10
6,32900,47,1,1,1,2004,10
6,32900,47,1,46,11,2004,10
6,32900,47,4,25,7,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,6,-1,-1,2004,10
6,32900,47,5,-1,-1,2004,10
6,32900,47,1,23,6,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,1,23,6,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,1,22,5,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,1,23,6,2004,10
6,32900,47,1,22,5,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,1,43,10,2004,10
6,32900,47,1,43,10,2004,10
6,32900,47,-1,-1,-1,2004,10
6,32900,47,1,1,1,2004,11
6,32900,47,1,14,4,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,5,-1,-1,2004,11
6,32900,47,1,40,10,2004,11
6,32900,47,1,40,10,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,1,14,4,2004,11
6,32900,47,6,-1,-1,2004,11
6,32900,47,1,46,11,2004,11
6,32900,47,1,23,6,2004,11
6,32900,47,1,40,10,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,1,38,9,2004,11
6,32900,47,7,-1,-1,2004,11
6,32900,47,1,4,3,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,7,-1,-1,2004,11
6,32900,47,7,-1,-1,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,1,22,5,2004,11
6,32900,47,1,50,12,2004,11
6,32900,47,1,46,11,2004,11
6,32900,47,1,1,1,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,1,46,11,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,1,50,12,2004,11
6,32900,47,7,-1,-1,2004,11
6,32900,47,7,-1,-1,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,1,1,1,2004,11
6,32900,47,1,14,4,2004,11
6,32900,47,1,32,8,2004,11
6,32900,47,7,-1,-1,2004,11
6,32900,47,5,-1,-1,2004,11
6,32900,47,1,22,5,2004,11
6,32900,47,1,22,5,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,7,-1,-1,2004,11
6,32900,47,1,26,7,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,1,40,10,2004,11
6,32900,47,7,-1,-1,2004,11
6,32900,47,5,-1,-1,2004,11
6,32900,47,6,51,13,2004,11
6,32900,47,6,-1,-1,2004,11
6,32900,47,6,-1,-1,2004,11
6,32900,47,7,-1,-1,2004,11
6,32900,47,7,-1,-1,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,1,43,10,2004,11
6,32900,47,1,46,11,2004,11
6,32900,47,4,25,7,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,6,-1,-1,2004,11
6,32900,47,5,-1,-1,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,1,22,5,2004,11
6,32900,47,1,36,9,2004,11
6,32900,47,1,32,8,2004,11
6,32900,47,2,23,6,2004,11
6,32900,47,1,22,5,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,1,43,10,2004,11
6,32900,47,1,43,10,2004,11
6,32900,47,-1,-1,-1,2004,11
6,32900,47,7,-1,-1,2004,12
6,32900,47,2,14,4,2004,12
6,32900,47,-1,-1,-1,2004,12
6,32900,47,-1,-1,-1,2004,12
6,32900,47,-1,-1,-1,2004,12
6,32900,47,-1,-1,-1,2004,12
6,32900,47,-1,-1,-1,2004,12
6,32900,47,5,-1,-1,2004,12
6,32900,47,5,-1,-1,2004,12
6,32900,47,1,14,4,2004,12
6,32900,47,6,-1,-1,2004,12
6,32900,47,1,46,11,2004,12
6,32900,47,1,40,10,2004,12
6,32900,47,1,40,10,2004,12
6,32900,47,-1,-1,-1,2004,12
6,32900,47,-1,-1,-1,2004,12
6,32900,47,-1,-1,-1,2004,12
6,32900,47,7,-1,-1,2004,12
